nu,trial,method,SHD,F1,TPR,FDR,NMI,ARI
3,0,Single DAG,22.333333333333332,0.28994307400379504,1.0,0.8271604938271605,0.0,0.0
3,0,Gaussian HMM,15.666666666666666,0.26896551724137935,0.5952380952380952,0.6976495726495727,0.04198509026444734,0.016968886476402392
3,0,TRACED,17.666666666666668,0.28650793650793654,0.7103174603174603,0.8127941176470589,0.9914022648565024,0.9960008416818564
3,1,Single DAG,26.666666666666668,0.17298850574712643,0.5833333333333334,0.8974358974358975,0.0,0.0
3,1,Gaussian HMM,20.333333333333332,0.13688610240334378,0.38888888888888884,0.9118589743589745,0.3678707801562131,0.31418870248693304
3,1,TRACED,17.333333333333332,0.22342995169082122,0.4166666666666667,0.8200629779577148,1.0,1.0
3,2,Single DAG,14.0,0.24814814814814812,0.9166666666666666,0.8541666666666666,0.0,0.0
3,2,Gaussian HMM,11.333333333333334,0.320855614973262,1.0,0.8074074074074075,0.3401246974193719,0.30212690370794304
3,2,TRACED,9.666666666666666,0.3238095238095238,0.9166666666666666,0.797979797979798,0.9938020438534206,0.9970025055062443
3,3,Single DAG,22.0,0.1767141500474834,0.7222222222222222,0.8985507246376812,0.0,0.0
3,3,Gaussian HMM,12.0,0.21637426900584797,0.6666666666666666,0.8708333333333332,0.34189380724471846,0.33192529050926706
3,3,TRACED,12.0,0.1527777777777778,0.4166666666666667,0.5681818181818182,0.6030561987753827,0.5227488009522344
3,4,Single DAG,21.666666666666668,0.059288537549407126,0.27777777777777773,0.9666666666666667,0.0,0.0
3,4,Gaussian HMM,16.0,0.05555555555555556,0.16666666666666666,0.9666666666666667,0.1716324047363481,0.16411787189615182
3,4,TRACED,6.666666666666667,0.2828282828282828,0.4444444444444444,0.7916666666666666,0.19640989418366875,0.15596419918768115
3,5,Single DAG,22.0,0.2081807081807082,1.0,0.88,0.0,0.0
3,5,Gaussian HMM,16.666666666666668,0.22222222222222224,0.8666666666666667,0.8618024132730016,0.32530443997581865,0.2962356144004298
3,5,TRACED,17.0,0.16666666666666666,0.5333333333333333,0.899749373433584,0.8502613946867242,0.852963781998538
3,6,Single DAG,26.666666666666668,0.1895424836601307,0.6666666666666666,0.888888888888889,0.0,0.0
